13th Month-FIRST QUARTER 2025,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
SIGNATURE LEDGER,,,,,,,,,,,,,,,
,,EMPLOYEE,,,,,,,,,,,,,
,,,,,DECEMBER,,,JANUARY,,,FEBRUARY,,,TOTAL,
FINANCE DEPARTMENT,,,,,Basic,Basic,13th Month,Basic,Basic,13th Month,Basic,Basic,13th Month,Basic,13th Month
,,,,,,,,,,,,,,,
1,.,Employee A,,,"8,000.00 ","8,000.00 ","1,333.33 ","8,000.00 ","8,255.99 ","1,354.67 ","8,255.99 ","8,256.00 ","1,376.00 ","48,767.98 ","4,064.00 "
2,.,Employee B,,,"7,500.00 ","7,500.00 ","1,250.00 ","7,500.00 ","7,680.00 ","1,265.00 ","7,680.00 ","7,679.99 ","1,280.00 ","45,539.99 ","3,795.00 "
3,.,Employee C,,,"9,999.99 ","10,000.00 ","1,666.67 ","10,000.00 ","10,240.00 ","1,686.67 ","10,240.00 ","10,240.00 ","1,706.67 ","60,719.99 ","5,060.00 "
4,.,Employee D,,,"5,363.81 ","8,250.00 ","1,134.48 ","8,250.00 ","8,250.00 ","1,375.00 ","8,250.00 ","8,250.00 ","1,375.00 ","46,613.81 ","3,884.48 "
5,.,Employee E,,,"20,000.00 ","20,000.00 ","3,333.33 ","20,000.00 ","20,800.00 ","3,400.00 ","20,800.00 ","20,800.00 ","3,466.67 ","122,400.00 ","10,200.00 "
6,.,Employee F,,,"7,500.00 ","7,500.00 ","1,250.00 ","7,500.00 ","7,560.00 ","1,255.00 ","7,560.00 ","7,560.00 ","1,260.00 ","45,180.00 ","3,765.00 "
7,.,Employee G,,,"7,500.00 ","7,500.00 ","1,250.00 ","7,500.00 ","7,679.99 ","1,265.00 ","7,679.99 ","7,680.00 ","1,280.00 ","45,539.98 ","3,795.00 "
8,.,Employee H,,,"6,290.34 ","6,290.34 ","1,048.39 ","6,290.33 ","6,290.33 ","1,048.39 ","6,290.33 ","6,290.33 ","1,048.39 ","37,742.00 ","3,145.17 "
,,,,,,,,,,,,,,,
,,,,SUB TOTAL >>>,"72,154.14 ","75,040.34 ","12,266.21 ","75,040.33 ","76,756.31 ","12,649.72 ","76,756.31 ","76,756.32 ","12,792.72 ","452,503.75 ","37,708.65 "
,,,,,,,,,,,,,,,
GENERAL AND ADMINISTRATION,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
1,.,Employee I,,,"7,000.00 ","6,731.63 ","1,144.30 ","7,000.00 ","7,056.00 ","1,171.33 ","7,056.00 ","7,056.00 ","1,176.00 ","41,899.63 ","3,491.64 "
2,.,Employee J,,,"7,000.00 ","7,000.00 ","1,166.67 ","7,000.00 ","7,167.99 ","1,180.67 ","7,168.00 ","7,167.99 ","1,194.67 ","42,503.98 ","3,542.00 "
3,.,Employee K,,,"9,952.07 ","10,000.00 ","1,662.67 ","9,904.13 ","9,749.27 ","1,637.78 ","10,141.85 ","10,190.93 ","1,694.40 ","59,938.25 ","4,994.85 "
4,.,Employee L,,,"7,000.00 ","7,000.00 ","1,166.67 ","7,000.00 ","7,224.00 ","1,185.33 ","7,223.99 ","7,224.00 ","1,204.00 ","42,671.99 ","3,556.00 "
5, ,Employee M,,,"25,000.00 ","25,000.00 ","4,166.67 ","25,000.00 ","25,000.00 ","4,166.67 ","25,000.00 ","25,000.00 ","4,166.67 ","150,000.00 ","12,500.00 "
,,,,,,,,,,,,,,,
,,,,SUB TOTAL >>>,"55,952.07 ","55,731.63 ","9,306.98 ","55,904.13 ","56,197.26 ","9,341.78 ","56,589.84 ","56,638.92 ","9,435.73 ","337,013.85 ","28,084.49 "
,,,,,,,,,,,,,,,
GOLF OPERATION,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
1,.,Employee N,,,"7,000.00 ","7,000.00 ","1,166.67 ","7,000.00 ","7,050.32 ","1,170.86 ","7,050.32 ","7,050.32 ","1,175.05 ","42,150.96 ","3,512.58 "
2,.,Employee O,,,"6,999.99 ","7,000.00 ","1,166.67 ","7,000.00 ","7,167.99 ","1,180.67 ","7,167.99 ","7,168.00 ","1,194.67 ","42,503.97 ","3,542.00 "
